CONCEPT_ID,CONCEPT_NAME,NUM_PERSONS,PERCENT_PERSONS,RECORDS_PER_PERSON,P25_VALUE,MEDIAN_VALUE,P75_VALUE,PERCENT_PERSONS_NTILE,RECORDS_PER_PERSON_NTILE
0,No matching concept,108,0.8852,1.5,0,0,1,1,1
37311061,Disease caused by 2019-nCoV,86,0.7049,1.0,15,21,28,1,2
437663,Fever,83,0.6803,1.0,13,19,28,1,2
40481087,Viral sinusitis,70,0.5738,1.5,7,14,21,1,1
254761,Cough,61,0.5000,1.0,14,19,27,1,2
4112343,Acute viral pharyngitis,56,0.4590,1.4,8,10,11,1,1
260139,Acute bronchitis,53,0.4344,1.3,7,7,14,1,1
4289517,Loss of taste,45,0.3688,1.0,13,19,27,1,2
4311629,Impaired glucose tolerance,38,0.3115,1.0,1,1,1,1,2
4223659,Fatigue,37,0.3033,1.0,16,19,27,1,2
439777,Anemia,36,0.2951,1.0,1,1,1,1,2
257012,Chronic sinusitis,28,0.2295,1.0,1,1,1,1,2
4089228,Sputum finding,27,0.2213,1.0,13,19,28,1,2
314754,Wheezing,25,0.2049,1.0,10,18,26,1,2
312437,Dyspnea,25,0.2049,1.0,10,18,26,2,2
320128,Essential hypertension,23,0.1885,1.0,1,1,1,2,2
4217975,Normal pregnancy,21,0.1721,2.5,21,210,217,2,1
437390,Hypoxemia,21,0.1721,1.0,1,1,1,2,2
4158346,Respiratory distress,21,0.1721,1.0,8,10,12,2,2
255848,Pneumonia,21,0.1721,1.0,8,10,12,2,3
4132891,Chronic low back pain,20,0.1639,1.0,1,1,1,2,3
372328,Otitis media,17,0.1393,1.4,59,102,218,2,1
378253,Headache,16,0.1311,1.0,11,26,31,2,3
28060,Streptococcal sore throat,15,0.1230,1.1,8,9,11,2,1
4078393,Miscarriage in first trimester,15,0.1230,1.0,1,1,1,2,3
432867,Hyperlipidemia,14,0.1148,1.0,1,1,1,2,3
434490,Chill,13,0.1066,1.0,10,13,17,2,3
43530622,Chronic neck pain,10,0.0820,1.0,1,1,1,2,3
36674642,Sepsis caused by virus,9,0.0738,1.0,1,10,11,3,3
319049,Acute respiratory failure,9,0.0738,1.0,1,8,10,3,3
442752,Muscle pain,9,0.0738,1.0,19,28,31,3,3
77074,Joint pain,9,0.0738,1.0,19,28,31,3,3
4285898,Polyp of colon,8,0.0656,1.1,1,390,450,3,1
45768439,Acute pulmonary embolism,8,0.0656,1.0,1,2,4,3,3
4147326,Sore throat symptom,8,0.0656,1.0,19,28,32,3,3
81151,Sprain of ankle,8,0.0656,1.1,21,28,35,3,1
75036,"Localized, primary osteoarthritis of the hand",6,0.0492,1.0,1,1,1,3,4
4113008,Laceration of hand,6,0.0492,1.0,14,21,21,3,4
313217,Atrial fibrillation,6,0.0492,1.0,1,1,1,3,4
4294548,Acute bacterial sinusitis,6,0.0492,1.0,28,49,91,3,4
378001,Concussion with no loss of consciousness,6,0.0492,1.2,30,30,30,3,1
4195694,Acute respiratory distress syndrome,6,0.0492,1.0,1,1,1,4,4
44782746,Acute deep venous thrombosis,6,0.0492,1.0,1,1,4,4,4
381316,Cerebrovascular accident,6,0.0492,1.0,1,1,1,4,4
4152936,Laceration of thigh,6,0.0492,1.0,14,21,21,4,4
4129902,Neoplasm of prostate,6,0.0492,1.0,1,1,1,4,4
200970,Carcinoma in situ of prostate,5,0.0410,1.0,1,1,1,4,4
31967,Nausea,5,0.0410,1.0,9,12,31,4,4
78272,Sprain of wrist,5,0.0410,1.0,14,21,35,4,4
80502,Osteoporosis,5,0.0410,1.0,1,1,1,4,4
201826,Type 2 diabetes mellitus,5,0.0410,1.0,1,1,1,4,5
317576,Coronary arteriosclerosis,5,0.0410,1.0,1,1,1,4,5
436940,Metabolic syndrome X,5,0.0410,1.0,1,1,1,4,5
4096715,Vomiting symptom,5,0.0410,1.0,9,12,31,4,5
4120314,Hypertriglyceridemia,5,0.0410,1.0,1,1,1,5,5
4155034,Laceration of forearm,5,0.0410,1.0,14,21,21,5,5
4218389,Whiplash injury to neck,5,0.0410,1.2,21,21,21,5,1
4278672,Fracture of forearm,5,0.0410,1.0,30,60,60,5,5
43530652,Chronic intractable migraine without aura,4,0.0328,1.0,1,1,1,5,5
4048171,Perennial allergic rhinitis with seasonal variation,4,0.0328,1.0,1,1,1,5,5
4112853,Malignant tumor of breast,4,0.0328,1.0,1,1,1,5,5
4029498,Seizure disorder,4,0.0328,1.0,1,1,1,5,5
443614,Chronic kidney disease stage 1,4,0.0328,1.0,1,1,1,5,5
4059173,Fracture of ankle,4,0.0328,1.0,30,90,90,5,5
132797,Sepsis,4,0.0328,1.0,1,1,1,5,6
4156265,Facial laceration,4,0.0328,1.0,14,21,21,5,6
192279,Disorder of kidney due to diabetes mellitus,4,0.0328,1.0,1,1,1,5,6
4195085,Nasal congestion,4,0.0328,1.0,18,28,29,6,6
4214376,Hyperglycemia,4,0.0328,1.0,1,1,1,6,6
375671,Concussion with loss of consciousness,4,0.0328,1.0,30,30,30,6,6
4218106,Alcoholism,4,0.0328,1.0,1,1,1,6,6
