CONCEPT_ID,CONCEPT_NAME,NUM_PERSONS,PERCENT_PERSONS,RECORDS_PER_PERSON,P25_VALUE,MEDIAN_VALUE,P75_VALUE,PERCENT_PERSONS_NTILE,RECORDS_PER_PERSON_NTILE
1125315,acetaminophen,92,0.7541, 1.7,7,14,21,1,1
1177480,ibuprofen,37,0.3033, 1.1,14,21,67,1,3
1713332,amoxicillin,30,0.2459, 1.2,14,14,14,1,2
1115008,naproxen,24,0.1967, 1.1,0,14,21,1,3
1301025,enoxaparin,21,0.1721, 1.0,0,2,9,1,3
1174888,hydrocodone,20,0.1639, 1.4,0,42,2196,1,2
1759842,clavulanate,19,0.1557, 1.0,14,14,21,1,3
1549786,ethinyl estradiol,18,0.1475, 1.6,360,360,360,1,2
1308216,lisinopril,18,0.1475, 1.0,5936,9987,17983,1,3
1729720,penicillin V,17,0.1393, 1.1,8,9,11,1,3
738818,doxylamine,17,0.1393, 1.0,7,7,14,2,3
1119510,dextromethorphan,17,0.1393, 1.0,7,7,14,2,3
1539403,simvastatin,15,0.1230, 1.0,1825,3710,15358,2,4
19127890,inert ingredients,15,0.1230, 1.7,360,360,360,2,1
1124957,oxycodone,14,0.1148, 2.4,14,79,1830,2,1
1519936,etonogestrel,14,0.1148, 1.4,361,364,366,2,2
1500211,medroxyprogesterone,13,0.1066, 1.4,361,364,364,2,2
1589505,levonorgestrel,13,0.1066, 1.2,360,360,365,2,2
1521369,norethindrone,13,0.1066, 1.9,360,360,360,2,1
1154343,albuterol,12,0.0984, 1.1,0,0,8,2,3
1332418,amlodipine,12,0.0984, 1.0,5906,8904,13762,3,4
974166,hydrochlorothiazide,12,0.0984, 1.0,5936,8874,14840,3,4
1343916,epinephrine,10,0.0820, 1.0,0,0,0,3,4
1102527,meperidine,8,0.0656, 1.0,0,35,36,3,4
1741122,tazobactam,7,0.0574, 1.0,0,0,0,3,4
1746114,piperacillin,7,0.0574, 1.0,0,0,0,3,4
1154029,fentanyl,7,0.0574, 1.0,1960,2184,2393,3,4
1707687,vancomycin,7,0.0574, 1.0,0,0,0,3,4
1515774,norgestimate,6,0.0492, 1.5,360,360,360,3,2
1396131,ferrous sulfate,6,0.0492, 1.0,0,0,0,3,4
1512674,drospirenone,6,0.0492, 1.0,360,360,360,4,5
1326303,digoxin,6,0.0492, 1.0,1855,5194,10388,4,5
1310149,warfarin,6,0.0492, 1.0,1855,5194,10388,4,5
1351541,leuprolide,5,0.0410, 1.0,0,0,0,4,5
1361711,nitroglycerin,5,0.0410, 1.2,3682,3710,5460,4,2
1307863,verapamil,5,0.0410, 1.0,5194,6678,10388,4,5
1315942,docetaxel,5,0.0410, 1.0,0,0,0,4,5
46221581,insulin isophane,4,0.0328, 1.0,1498,4830,11991,4,5
1107830,loratadine,4,0.0328, 1.0,0,0,0,4,5
1112807,aspirin,4,0.0328, 1.0,14,21,21,4,5
1129625,diphenhydramine,4,0.0328, 1.0,0,0,0,5,6
1321341,norepinephrine,4,0.0328, 1.0,0,0,0,5,6
1322184,clopidogrel,4,0.0328, 1.2,0,3710,5460,5,3
1378382,paclitaxel,4,0.0328,16.0,0,0,57,5,1
1503297,metformin,4,0.0328, 1.0,9079,9849,13762,5,6
1548195,estradiol,4,0.0328, 1.0,0,360,360,5,6
1596977,"insulin, regular, human",4,0.0328, 1.0,1498,4830,11991,5,6
19054876,dienogest,4,0.0328, 1.0,0,360,360,5,6
1308738,vitamin B12,3,0.0246, 1.0,0,0,0,5,6
1557272,alendronate,3,0.0246, 1.0,0,0,0,6,6
1397599,cisplatin,3,0.0246,21.0,0,0,57,6,1
1149380,fluticasone,3,0.0246, 1.0,9996,10722,17029,6,6
1507835,vasopressin (USP),3,0.0246, 1.0,0,0,0,6,7
1346823,carvedilol,3,0.0246, 1.0,798,835,1054,6,7
975125,hydrocortisone,3,0.0246, 1.0,0,0,0,6,7
920293,nitrofurantoin,3,0.0246, 2.0,7,7,7,6,1
933724,phenazopyridine,3,0.0246, 2.0,7,7,7,6,1
1367500,losartan,3,0.0246, 1.0,655,798,1054,6,7
1778162,cefuroxime,3,0.0246, 1.0,14,14,14,7,7
956874,furosemide,3,0.0246, 1.3,0,798,835,7,2
1318011,oxaliplatin,2,0.0164, 1.0,0,0,0,7,7
1347450,alteplase,2,0.0164, 1.0,0,0,0,7,7
1388796,leucovorin,2,0.0164, 1.0,0,0,0,7,7
1103314,tramadol,2,0.0164, 1.0,1132,1132,2298,7,7
1436678,tamoxifen,2,0.0164, 1.0,0,0,0,7,8
701322,memantine,2,0.0164, 1.0,0,0,0,7,8
742185,atomoxetine,2,0.0164, 1.0,0,0,231,7,8
1551099,prednisone,2,0.0164, 1.5,0,0,0,8,2
740275,carbamazepine,2,0.0164, 1.0,0,0,0,8,8
718583,nicotine,2,0.0164, 1.0,0,0,0,8,8
1201620,codeine,2,0.0164, 1.0,2126,2126,2511,8,8
1192710,chlorpheniramine,2,0.0164, 1.0,0,0,0,8,8
1153428,fexofenadine,2,0.0164, 1.0,0,0,0,8,8
914335,atropine,1,0.0082, 1.0,0,0,0,8,8
757627,galantamine,1,0.0082, 1.0,450,450,450,8,9
1545958,atorvastatin,1,0.0082, 1.0,0,0,0,8,9
715997,donepezil,1,0.0082, 1.0,0,0,0,9,9
1167322,allopurinol,1,0.0082, 2.0,14,14,21,9,1
798874,clonazepam,1,0.0082, 1.0,0,0,0,9,9
1150770,astemizole,1,0.0082, 1.0,0,0,0,9,9
1150836,terfenadine,1,0.0082, 1.0,0,0,0,9,9
19073699,hyaluronidase,1,0.0082, 1.0,0,0,0,9,9
739138,sertraline,1,0.0082, 1.0,0,0,0,9,9
723013,diazepam,1,0.0082, 1.0,0,0,0,9,9
1309944,amiodarone,1,0.0082, 1.0,0,0,0,9,10
1734104,azithromycin,1,0.0082, 1.0,0,0,0,10,10
1501700,levothyroxine,1,0.0082, 1.0,0,0,0,10,10
1503184,mestranol,1,0.0082, 3.0,360,360,720,10,1
1792515,chloroquine,1,0.0082, 1.0,0,0,0,10,10
1101554,colchicine,1,0.0082, 1.0,14,14,14,10,10
1387104,trastuzumab,1,0.0082, 1.0,0,0,0,10,10
1137529,salmeterol,1,0.0082, 1.0,9996,9996,9996,10,10
1518198,norelgestromin,1,0.0082, 1.0,360,360,360,10,10
1149196,cetirizine,1,0.0082, 1.0,0,0,0,10,10
