analysis_id,analysis_name,elapsed_seconds
0,Source name, 0.02
1,Number of persons, 0.02
2,Number of persons by gender, 0.02
3,Number of persons by year of birth, 0.02
4,Number of persons by race, 0.10
5,Number of persons by ethnicity, 0.01
7,Number of persons with invalid provider_id, 0.01
8,Number of persons with invalid location_id, 0.02
9,Number of persons with invalid care_site_id, 0.02
10,Number of all persons by year of birth by gender, 0.01
11,Number of non-deceased persons by year of birth by gender, 0.01
12,Number of persons by race and ethnicity, 0.01
101,"Number of persons by age, with age at first observation period", 0.02
102,"Number of persons by gender by age, with age at first observation period", 0.02
103,Distribution of age at first observation period, 0.06
104,Distribution of age at first observation period by gender, 0.04
105,Length of observation (days) of first observation period, 0.27
106,Length of observation (days) of first observation period by gender, 0.15
107,Length of observation (days) of first observation period by age decile, 0.22
108,"Number of persons by length of observation period, in 30d increments", 0.02
109,Number of persons with continuous observation in each year, 0.12
110,Number of persons with continuous observation in each month, 0.10
111,Number of persons by observation period start month, 0.01
112,Number of persons by observation period end month, 0.02
113,Number of persons by number of observation periods, 0.01
114,Number of persons with observation period before year-of-birth, 0.01
115,Number of persons with observation period end < observation period start, 0.01
116,Number of persons with at least one day of observation in each year by gender and age decile, 0.12
117,Number of persons with at least one day of observation in each month, 3.77
118,Number of observation periods with invalid person_id, 0.02
119,Number of observation period records by period_type_concept_id, 0.01
200,"Number of persons with at least one visit occurrence, by visit_concept_id", 0.05
201,"Number of visit occurrence records, by visit_concept_id", 0.05
202,"Number of persons by visit occurrence start month, by visit_concept_id", 0.13
203,Number of distinct visit occurrence concepts per person, 0.04
204,"Number of persons with at least one visit occurrence, by visit_concept_id by calendar year by gender by age decile", 0.10
206,Distribution of age by visit_concept_id, 0.11
207,Number of visit records with invalid person_id, 0.02
208,Number of visit records outside valid observation period, 0.02
209,Number of visit records with end date < start date, 0.02
210,Number of visit records with invalid care_site_id, 0.02
211,Distribution of length of stay by visit_concept_id, 0.09
212,"Number of persons with at least one visit occurrence, by calendar year by gender by age decile", 0.13
220,Number of visit occurrence records by visit occurrence start month, 0.07
221,Number of persons by visit start year, 0.05
225,Number of visit_occurrence records by visit_source_concept_id, 0.02
226,Number of records by domain by visit_concept_id, 0.34
300,Number of providers, 0.01
301,Number of providers by specialty concept_id, 0.01
302,Number of providers with invalid care site id, 0.02
325,Number of provider records by specialty_source_concept_id, 0.01
400,"Number of persons with at least one condition occurrence, by condition_concept_id", 0.02
401,"Number of condition occurrence records, by condition_concept_id", 0.01
402,"Number of persons by condition occurrence start month, by condition_concept_id", 0.06
403,Number of distinct condition occurrence concepts per person, 0.04
404,"Number of persons with at least one condition occurrence, by condition_concept_id by calendar year by gender by age decile", 0.14
405,"Number of condition occurrence records, by condition_concept_id by condition_type_concept_id", 0.02
406,Distribution of age by condition_concept_id, 0.24
409,Number of condition occurrence records with invalid person_id, 0.02
410,Number of condition occurrence records outside valid observation period, 0.02
411,Number of condition occurrence records with end date < start date, 0.01
412,Number of condition occurrence records with invalid provider_id, 0.01
413,Number of condition occurrence records with invalid visit_id, 0.02
420,Number of condition occurrence records by condition occurrence start month, 0.03
425,Number of condition_occurrence records by condition_source_concept_id, 0.02
500,"Number of persons with death, by cause_concept_id", 0.02
501,"Number of records of death, by cause_concept_id", 0.06
502,Number of persons by death month, 0.01
504,"Number of persons with a death, by calendar year by gender by age decile", 0.01
505,"Number of death records, by death_type_concept_id", 0.01
506,Distribution of age at death by gender, 0.02
509,Number of death records with invalid person_id, 0.01
510,Number of death records outside valid observation period, 0.01
511,Distribution of time from death to last condition, 0.01
512,Distribution of time from death to last drug, 0.03
513,Distribution of time from death to last visit, 0.07
514,Distribution of time from death to last procedure, 0.03
