domain,date,records
Condition era,1923-02-01T00:00:00Z,1
Condition era,1923-10-01T00:00:00Z,1
Condition era,1930-02-01T00:00:00Z,1
Condition era,1931-05-01T00:00:00Z,1
Condition era,1931-11-01T00:00:00Z,2
Condition era,1932-03-01T00:00:00Z,1
Condition era,1932-11-01T00:00:00Z,2
Condition era,1934-10-01T00:00:00Z,1
Condition era,1934-12-01T00:00:00Z,2
Condition era,1935-12-01T00:00:00Z,1
Condition era,1936-05-01T00:00:00Z,6
Condition era,1936-09-01T00:00:00Z,1
Condition era,1936-12-01T00:00:00Z,2
Condition era,1937-01-01T00:00:00Z,1
Condition era,1937-02-01T00:00:00Z,1
Condition era,1937-09-01T00:00:00Z,1
Condition era,1937-12-01T00:00:00Z,1
Condition era,1938-03-01T00:00:00Z,2
Condition era,1938-05-01T00:00:00Z,2
Condition era,1938-09-01T00:00:00Z,1
Condition era,1939-03-01T00:00:00Z,2
Condition era,1939-10-01T00:00:00Z,1
Condition era,1939-12-01T00:00:00Z,1
Condition era,1940-01-01T00:00:00Z,2
Condition era,1941-05-01T00:00:00Z,1
Condition era,1941-06-01T00:00:00Z,5
Condition era,1941-07-01T00:00:00Z,1
Condition era,1941-09-01T00:00:00Z,1
Condition era,1941-10-01T00:00:00Z,1
Condition era,1941-12-01T00:00:00Z,2
Condition era,1942-02-01T00:00:00Z,3
Condition era,1942-07-01T00:00:00Z,2
Condition era,1942-09-01T00:00:00Z,1
Condition era,1942-10-01T00:00:00Z,1
Condition era,1942-11-01T00:00:00Z,3
Condition era,1942-12-01T00:00:00Z,3
Condition era,1943-02-01T00:00:00Z,2
Condition era,1943-03-01T00:00:00Z,1
Condition era,1943-05-01T00:00:00Z,1
Condition era,1943-09-01T00:00:00Z,3
Condition era,1943-10-01T00:00:00Z,2
Condition era,1943-11-01T00:00:00Z,5
Condition era,1944-01-01T00:00:00Z,2
Condition era,1944-06-01T00:00:00Z,2
Condition era,1944-08-01T00:00:00Z,1
Condition era,1944-12-01T00:00:00Z,1
Condition era,1945-03-01T00:00:00Z,1
Condition era,1945-08-01T00:00:00Z,1
Condition era,1945-11-01T00:00:00Z,1
Condition era,1945-12-01T00:00:00Z,1
Condition era,1946-01-01T00:00:00Z,1
Condition era,1946-03-01T00:00:00Z,2
Condition era,1946-08-01T00:00:00Z,2
Condition era,1946-09-01T00:00:00Z,1
Condition era,1946-11-01T00:00:00Z,3
Condition era,1947-01-01T00:00:00Z,1
Condition era,1947-03-01T00:00:00Z,3
Condition era,1947-04-01T00:00:00Z,2
Condition era,1947-05-01T00:00:00Z,1
Condition era,1947-06-01T00:00:00Z,1
Condition era,1947-07-01T00:00:00Z,1
Condition era,1947-12-01T00:00:00Z,6
Condition era,1948-03-01T00:00:00Z,2
Condition era,1948-08-01T00:00:00Z,1
Condition era,1949-01-01T00:00:00Z,2
Condition era,1949-04-01T00:00:00Z,2
Condition era,1949-07-01T00:00:00Z,3
Condition era,1949-11-01T00:00:00Z,1
Condition era,1949-12-01T00:00:00Z,2
Condition era,1950-02-01T00:00:00Z,2
Condition era,1950-05-01T00:00:00Z,2
Condition era,1950-07-01T00:00:00Z,2
Condition era,1950-09-01T00:00:00Z,1
Condition era,1950-10-01T00:00:00Z,2
Condition era,1950-12-01T00:00:00Z,2
Condition era,1951-05-01T00:00:00Z,1
Condition era,1951-06-01T00:00:00Z,2
