CONCEPT_ID,CONCEPT_NAME,NUM_PERSONS,PERCENT_PERSONS,RECORDS_PER_PERSON,PERCENT_PERSONS_NTILE,RECORDS_PER_PERSON_NTILE
3027018,Heart rate,1178,0.9992, 13.6,1,2
3004249,Systolic blood pressure,1178,0.9992, 14.6,1,2
3012888,Diastolic blood pressure,1178,0.9992, 14.6,1,2
3024171,Respiratory rate,1178,0.9992, 13.6,1,2
3025315,Body weight,1178,0.9992, 13.8,1,2
3009744,MCHC [Mass/volume] by Automated count,1177,0.9983,  4.1,1,5
3024929,Platelets [#/volume] in Blood by Automated count,1177,0.9983,  4.1,1,5
3023599,MCV [Entitic volume] by Automated count,1177,0.9983,  4.1,1,5
3000905,Leukocytes [#/volume] in Blood by Automated count,1177,0.9983,  4.1,1,6
3000963,Hemoglobin [Mass/volume] in Blood,1177,0.9983,  4.1,1,6
3023314,Hematocrit [Volume Fraction] of Blood by Automated count,1177,0.9983,  4.0,1,6
3020416,Erythrocytes [#/volume] in Blood by Automated count,1177,0.9983,  4.1,1,6
3012030,MCH [Entitic mass] by Automated count,1177,0.9983,  4.1,1,6
3036277,Body height,1175,0.9966, 11.1,1,3
3002736,Platelet distribution width [Entitic volume] in Blood by Automated count,1175,0.9966,  2.2,1,6
43055141,Pain severity - 0-10 verbal numeric rating [Score] - Reported,1175,0.9966, 12.8,1,2
3043111,Platelet mean volume [Entitic volume] in Blood by Automated count,1175,0.9966,  2.2,1,6
3015182,Erythrocyte distribution width [Entitic volume] by Automated count,1175,0.9966,  2.2,1,6
3038553,Body mass index (BMI) [Ratio],1152,0.9771, 10.5,1,4
3020891,Body temperature,1034,0.8770,  4.0,1,6
3016502,Oxygen saturation in Arterial blood,945,0.8015,  4.5,1,5
706158,SARS-CoV-2 (COVID-19) RNA panel - Respiratory specimen by NAA with probe detection,913,0.7744,  1.3,2,7
3027114,Cholesterol [Mass/volume] in Serum or Plasma,773,0.6556,  7.5,2,4
3009966,Cholesterol in LDL [Mass/volume] in Serum or Plasma by Direct assay,773,0.6556,  7.5,2,4
3022192,Triglyceride [Mass/volume] in Serum or Plasma,773,0.6556,  7.5,2,4
3007070,Cholesterol in HDL [Mass/volume] in Serum or Plasma,773,0.6556,  7.5,2,4
1002061,Adenovirus A+B+C+D+E DNA [Presence] in Respiratory specimen by NAA with probe detection,524,0.4444,  1.0,2,8
37019589,Parainfluenza virus 1 RNA [Presence] in Respiratory specimen by NAA with probe detection,524,0.4444,  1.0,2,8
37019613,Parainfluenza virus 2 RNA [Presence] in Respiratory specimen by NAA with probe detection,524,0.4444,  1.0,2,8
37020003,Rhinovirus RNA [Presence] in Respiratory specimen by NAA with probe detection,524,0.4444,  1.0,2,8
37020635,Influenza virus A RNA [Presence] in Respiratory specimen by NAA with probe detection,524,0.4444,  1.0,2,8
37020808,Human metapneumovirus RNA [Presence] in Respiratory specimen by NAA with probe detection,524,0.4444,  1.0,2,8
37021152,Respiratory syncytial virus RNA [Presence] in Respiratory specimen by NAA with probe detection,524,0.4444,  1.0,2,8
37021252,Influenza virus B RNA [Presence] in Respiratory specimen by NAA with probe detection,524,0.4444,  1.0,2,8
37021465,Parainfluenza virus 3 RNA [Presence] in Respiratory specimen by NAA with probe detection,524,0.4444,  1.0,2,8
3014094,"Carbon dioxide, total [Moles/volume] in Blood",455,0.3859, 14.7,2,2
3005456,Potassium [Moles/volume] in Blood,455,0.3859, 14.7,2,2
3051825,Creatinine [Mass/volume] in Blood,455,0.3859, 14.7,2,2
3032503,Calcium [Mass/volume] in Blood,455,0.3859, 14.7,2,2
3000285,Sodium [Moles/volume] in Blood,455,0.3859, 14.7,2,2
3000483,Glucose [Mass/volume] in Blood,455,0.3859, 14.7,2,2
3004295,Urea nitrogen [Mass/volume] in Blood,455,0.3859, 14.7,2,2
3018572,Chloride [Moles/volume] in Blood,455,0.3859, 14.7,3,2
3004410,Hemoglobin A1c/Hemoglobin.total in Blood,404,0.3427, 13.1,3,2
21492989,Influenza virus B Ag [Presence] in Nasopharynx by Rapid immunoassay,389,0.3299,  1.0,3,9
21492988,Influenza virus A Ag [Presence] in Nasopharynx by Rapid immunoassay,389,0.3299,  1.0,3,9
46236952,"Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (MDRD)",358,0.3036, 17.6,3,1
40762638,Body mass index (BMI) [Percentile] Per age and sex,350,0.2969,  7.7,3,4
