CONCEPT_ID,CONCEPT_NAME,NUM_PERSONS,PERCENT_PERSONS,RECORDS_PER_PERSON,PERCENT_PERSONS_NTILE,RECORDS_PER_PERSON_NTILE
37311060,Suspected disease caused by 2019-nCoV,913,0.7744,1.0,1,1
4060985,Body mass index 30+ - obesity,492,0.4173,1.0,1,1
4304110,Allergy to mold,79,0.0670,1.0,1,1
439406,Allergy to animal dander,77,0.0653,1.0,2,2
4306014,Allergy to tree pollen,65,0.0551,1.0,2,2
4302207,Allergy to grass pollen,63,0.0534,1.0,2,2
4323208,History of appendectomy,62,0.0526,1.0,3,3
4048169,Allergy to dust mite protein,57,0.0483,1.0,3,3
433644,Allergy to shellfish,48,0.0407,1.0,3,3
4324181,History of cardiac arrest,36,0.0305,1.0,4,4
45766064,History of single seizure,36,0.0305,1.0,4,4
4174876,Allergy to bee venom,31,0.0263,1.0,4,4
4240902,Allergy to peanut,30,0.0255,1.0,5,5
4163874,History of myocardial infarction,26,0.0220,1.0,5,5
438614,Allergy to nut,26,0.0220,1.0,5,5
4219399,Allergy to fish,24,0.0204,1.0,6,6
4102123,Allergy to latex,23,0.0195,1.0,6,6
4169137,Allergy to wheat,14,0.0119,1.0,6,6
4038238,Suspected lung cancer,13,0.0110,1.0,7,7
4139681,Allergy to dairy foods,13,0.0110,1.0,7,7
4256640,Body mass index 40+ - severely obese,10,0.0085,1.0,7,7
442116,Allergy to edible egg,10,0.0085,1.0,8,8
42709996,Smokes tobacco daily,9,0.0076,1.0,8,8
36684378,Allergy to soy protein,6,0.0051,1.0,9,9
4058850,H/O: lower limb amputation,2,0.0017,1.0,9,9
4121085,Unable to swallow saliva,1,0.0008,1.0,10,10
4168004,Burn injury,1,0.0008,1.0,10,10
