CONCEPT_ID,CONCEPT_NAME,NUM_PERSONS,PERCENT_PERSONS,RECORDS_PER_PERSON,PERCENT_PERSONS_NTILE,RECORDS_PER_PERSON_NTILE
1127433,acetaminophen 325 MG Oral Tablet,726,0.4132,   1.4,1,3
1713671,amoxicillin 250 MG / clavulanate 125 MG Oral Tablet,358,0.2038,   1.2,1,4
1115171,naproxen sodium 220 MG Oral Tablet,347,0.1975,   1.1,1,5
19080128,lisinopril 10 MG Oral Tablet,304,0.1730,  40.8,1,1
19020053,acetaminophen 500 MG Oral Tablet,288,0.1639,   1.1,1,5
40160973,0.4 ML enoxaparin sodium 100 MG/ML Prefilled Syringe,279,0.1588,   1.1,1,5
19078106,hydrochlorothiazide 25 MG Oral Tablet,272,0.1548,  43.4,1,1
19073094,amlodipine 2.5 MG Oral Tablet,257,0.1463,  43.1,1,1
19078461,ibuprofen 200 MG Oral Tablet,241,0.1372,   1.1,1,5
1511248,NDA020503 200 ACTUAT albuterol 0.09 MG/ACTUAT Metered Dose Inhaler,205,0.1167,  17.7,1,1
40229134,acetaminophen 21.7 MG/ML / dextromethorphan hydrobromide 1 MG/ML / doxylamine succinate 0.417 MG/ML Oral Solution,196,0.1115,   1.1,1,5
1539463,simvastatin 10 MG Oral Tablet,188,0.1070,  16.0,1,2
40160997,1 ML enoxaparin sodium 150 MG/ML Prefilled Syringe,177,0.1007,   1.0,1,7
1594382,NDA020800 0.3 ML epinephrine 1 MG/ML Auto-Injector,150,0.0854,   1.0,1,7
19019979,ibuprofen 100 MG Oral Tablet,143,0.0814,   1.5,1,3
40224805,1 ML medroxyprogesterone acetate 150 MG/ML Injection,135,0.0768,   1.4,1,3
19079924,acetaminophen 160 MG Chewable Tablet,134,0.0763,   1.4,1,4
40162606,acetaminophen 300 MG / hydrocodone bitartrate 5 MG Oral Tablet,132,0.0751,   6.3,1,3
19128263,{7 (ethinyl estradiol 0.035 MG / norgestimate 0.18 MG Oral Tablet) / 7 (ethinyl estradiol 0.035 MG / norgestimate 0.215 MG Oral Tablet) / 7 (ethinyl estradiol 0.035 MG / norgestimate 0.25 MG Oral Tablet) / 7 (inert ingredients 1 MG Oral Tablet) } Pack [Tr,125,0.0711,   1.2,2,4
19127904,{24 (drospirenone 3 MG / ethinyl estradiol 0.02 MG Oral Tablet) / 4 (inert ingredients 1 MG Oral Tablet) } Pack [Yaz 28 Day],120,0.0683,   1.2,2,4
1519937,etonogestrel 68 MG Drug Implant,118,0.0672,   1.4,2,4
40221415,{5 (dienogest 2 MG / estradiol valerate 2 MG Oral Tablet) / 17 (dienogest 3 MG / estradiol valerate 2 MG Oral Tablet) / 2 (estradiol valerate 1 MG Oral Tablet) / 2 (estradiol valerate 3 MG Oral Tablet) / 2 (inert ingredients 1 MG Oral Tablet) } Pack [Nata,114,0.0649,   1.3,2,4
19075601,clopidogrel 75 MG Oral Tablet,113,0.0643,  14.1,2,2
19127918,{21 (ethinyl estradiol 0.03 MG / levonorgestrel 0.15 MG Oral Tablet) / 7 (inert ingredients 1 MG Oral Tablet) } Pack [Levora 0.15/30 28 Day],112,0.0638,   1.2,2,4
19129144,{28 (norethindrone 0.35 MG Oral Tablet) } Pack [Jolivette 28 Day],111,0.0632,   1.4,2,4
19133905,penicillin V potassium 500 MG Oral Tablet,105,0.0598,   1.1,2,5
19133873,penicillin V potassium 250 MG Oral Tablet,104,0.0592,   1.2,2,5
19073183,amoxicillin 250 MG Oral Capsule,103,0.0586,   1.3,2,4
19128009,{7 (ethinyl estradiol 0.01 MG Oral Tablet) / 84 (ethinyl estradiol 0.03 MG / levonorgestrel 0.15 MG Oral Tablet) } Pack [Seasonique],101,0.0575,   1.3,2,4
19126352,nitroglycerin 0.4 MG/ACTUAT Mucosal Spray,91,0.0518,  22.6,2,1
19132304,levonorgestrel 0.000833 MG/HR Intrauterine System [Mirena],88,0.0501,   1.3,2,4
19127922,{28 (norethindrone 0.35 MG Oral Tablet) } Pack [Camila 28 Day],86,0.0490,   1.2,2,5
40169216,120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler,84,0.0478,  40.4,2,1
1539411,simvastatin 20 MG Oral Tablet,80,0.0455,  21.4,2,1
40231925,acetaminophen 325 MG / oxycodone hydrochloride 5 MG Oral Tablet,78,0.0444,   2.2,2,3
1332419,amlodipine 5 MG Oral Tablet,78,0.0444,  20.9,2,1
19133679,{28 (norethindrone 0.35 MG Oral Tablet) } Pack [Errin 28 Day],78,0.0444,   1.3,3,4
