CDM_TABLE_NAME,CDM_FIELD_NAME,SOURCE_VALUE,RECORD_COUNT
measurement,unit_source_value,U/L,22164
person,race_source_value,native,4
measurement,unit_source_value,,20151
condition_occurrence,condition_status_source_value,,21728
measurement,unit_source_value,mL/min/{1.73_m2},2880
measurement,unit_source_value,kU/L,1800
measurement,unit_source_value,ng/dl,6
measurement,unit_source_value,{#},12
measurement,unit_source_value,ratio,12
observation,unit_source_value,,29335
person,race_source_value,other,1
person,ethnicity_source_value,hispanic,233
observation,qualifier_source_value,,29335
drug_exposure,route_source_value,,79880
measurement,unit_source_value,n/a,489
procedure_occurrence,modifier_source_value,,45360
measurement,unit_source_value,{score},21359
person,ethnicity_source_value,nonhispanic,1646
measurement,unit_source_value,m[IU]/L,6
visit_occurrence,discharge_to_source_value,,81027
measurement,unit_source_value,[pH],1549
measurement,unit_source_value,{INR},1974
visit_occurrence,admitting_source_value,,81027
measurement,unit_source_value,{T-score},114
measurement,unit_source_value,{nominal},9127
