DB_NAME,CDM_TABLE_NAME,CONCEPT_ID,CONCEPT_NAME,SEASONALITY_SCORE,IS_STATIONARY
Synthea,CONDITION_OCCURRENCE,28060,"Streptococcal sore throat",0.15,FALSE
Synthea,CONDITION_OCCURRENCE,78272,"Sprain of wrist",0.14,TRUE
Synthea,CONDITION_OCCURRENCE,80502,"Osteoporosis",0.17,TRUE
Synthea,CONDITION_OCCURRENCE,81151,"Sprain of ankle",0.14,FALSE
Synthea,CONDITION_OCCURRENCE,132797,"Sepsis",0.28,TRUE
Synthea,CONDITION_OCCURRENCE,192279,"Disorder of kidney due to diabetes mellitus",0.23,TRUE
Synthea,CONDITION_OCCURRENCE,201826,"Type 2 diabetes mellitus",0.2,TRUE
Synthea,CONDITION_OCCURRENCE,257012,"Chronic sinusitis",0.14,TRUE
Synthea,CONDITION_OCCURRENCE,260139,"Acute bronchitis",0.08,FALSE
Synthea,CONDITION_OCCURRENCE,313217,"Atrial fibrillation",0.16,TRUE
Synthea,CONDITION_OCCURRENCE,317576,"Coronary arteriosclerosis",0.42,TRUE
Synthea,CONDITION_OCCURRENCE,320128,"Essential hypertension",0.26,TRUE
Synthea,CONDITION_OCCURRENCE,321042,"Cardiac arrest",0.26,TRUE
Synthea,CONDITION_OCCURRENCE,372328,"Otitis media",0.08,FALSE
Synthea,CONDITION_OCCURRENCE,378001,"Concussion with no loss of consciousness",0.17,TRUE
Synthea,CONDITION_OCCURRENCE,378419,"Alzheimer's disease",0.17,TRUE
Synthea,CONDITION_OCCURRENCE,380378,"Epilepsy",0.27,TRUE
Synthea,CONDITION_OCCURRENCE,381316,"Cerebrovascular accident",0.12,TRUE
Synthea,CONDITION_OCCURRENCE,432867,"Hyperlipidemia",0.11,TRUE
Synthea,CONDITION_OCCURRENCE,436096,"Chronic pain",0.23,TRUE
Synthea,CONDITION_OCCURRENCE,436940,"Metabolic syndrome X",0.11,TRUE
Synthea,CONDITION_OCCURRENCE,439393,"Pre-eclampsia",0.32,TRUE
Synthea,CONDITION_OCCURRENCE,439777,"Anemia",0.11,TRUE
Synthea,CONDITION_OCCURRENCE,440448,"Appendicitis",0.21,TRUE
Synthea,CONDITION_OCCURRENCE,443614,"Chronic kidney disease stage 1",0.22,TRUE
Synthea,CONDITION_OCCURRENCE,4029498,"Seizure disorder",0.42,TRUE
Synthea,CONDITION_OCCURRENCE,4048171,"Perennial allergic rhinitis with seasonal variation",0.36,TRUE
Synthea,CONDITION_OCCURRENCE,4051466,"Childhood asthma",0.28,TRUE
Synthea,CONDITION_OCCURRENCE,4055754,"Impacted molars",0.16,TRUE
Synthea,CONDITION_OCCURRENCE,4059173,"Fracture of ankle",0.26,TRUE
Synthea,CONDITION_OCCURRENCE,4078393,"Miscarriage in first trimester",0.16,TRUE
Synthea,CONDITION_OCCURRENCE,4079750,"Osteoarthritis of knee",0.17,TRUE
Synthea,CONDITION_OCCURRENCE,4109685,"Laceration of foot",0.11,TRUE
Synthea,CONDITION_OCCURRENCE,4112343,"Acute viral pharyngitis",0.07,FALSE
Synthea,CONDITION_OCCURRENCE,4113008,"Laceration of hand",0.13,TRUE
Synthea,CONDITION_OCCURRENCE,4116491,"Escherichia coli urinary tract infection",0.16,TRUE
Synthea,CONDITION_OCCURRENCE,4120314,"Hypertriglyceridemia",0.22,TRUE
Synthea,CONDITION_OCCURRENCE,4134304,"Fracture subluxation of wrist",0.23,TRUE
Synthea,CONDITION_OCCURRENCE,4152936,"Laceration of thigh",0.25,TRUE
Synthea,CONDITION_OCCURRENCE,4155034,"Laceration of forearm",0.2,TRUE
Synthea,CONDITION_OCCURRENCE,4156265,"Facial laceration",0.28,TRUE
Synthea,CONDITION_OCCURRENCE,4208104,"Drug overdose",0.16,TRUE
Synthea,CONDITION_OCCURRENCE,4214376,"Hyperglycemia",0.25,TRUE
Synthea,CONDITION_OCCURRENCE,4217975,"Normal pregnancy",0.03,FALSE
Synthea,CONDITION_OCCURRENCE,4218389,"Whiplash injury to neck",0.16,TRUE
Synthea,CONDITION_OCCURRENCE,4229440,"Chronic congestive heart failure",0.23,TRUE
Synthea,CONDITION_OCCURRENCE,4237458,"Fracture of clavicle",0.2,TRUE
Synthea,CONDITION_OCCURRENCE,4278672,"Fracture of forearm",0.1,TRUE
Synthea,CONDITION_OCCURRENCE,4283893,"Sinusitis",0.13,TRUE
Synthea,CONDITION_OCCURRENCE,4285898,"Polyp of colon",0.14,TRUE
Synthea,CONDITION_OCCURRENCE,4294548,"Acute bacterial sinusitis",0.19,TRUE
Synthea,CONDITION_OCCURRENCE,4296204,"Epidermal burn of skin",0.2,TRUE
Synthea,CONDITION_OCCURRENCE,4311629,"Impaired glucose tolerance",0.11,TRUE
Synthea,CONDITION_OCCURRENCE,40318618,"Complete miscarriage",0.2,TRUE
Synthea,CONDITION_OCCURRENCE,40481087,"Viral sinusitis",0.05,FALSE
Synthea,CONDITION_OCCURRENCE,40486433,"Perennial allergic rhinitis",0.26,TRUE
