CONCEPT_ID,CONCEPT_NAME,NUM_PERSONS,PERCENT_PERSONS,RECORDS_PER_PERSON,PERCENT_MISSING_VALUES,PERCENT_PERSONS_NTILE,RECORDS_PER_PERSON_NTILE
3012030,MCH [Entitic mass] by Automated count,113,1.0000, 3.5,0.0000,1,6
3024929,Platelets [#/volume] in Blood by Automated count,113,1.0000, 3.5,0.0000,1,6
3024171,Respiratory rate,113,1.0000,12.8,0.0000,1,1
3023599,MCV [Entitic volume] by Automated count,113,1.0000, 3.5,0.0000,1,6
3023314,Hematocrit [Volume Fraction] of Blood by Automated count,113,1.0000, 3.4,0.0000,1,7
3020416,Erythrocytes [#/volume] in Blood by Automated count,113,1.0000, 3.5,0.0000,1,6
3015182,Erythrocyte distribution width [Entitic volume] by Automated count,113,1.0000, 2.0,0.0000,1,8
3012888,Diastolic blood pressure,113,1.0000,17.4,0.0000,1,1
3009744,MCHC [Mass/volume] by Automated count,113,1.0000, 3.5,0.0000,1,7
43055141,Pain severity - 0-10 verbal numeric rating [Score] - Reported,113,1.0000,11.0,0.0000,1,4
3043111,Platelet mean volume [Entitic volume] in Blood by Automated count,113,1.0000, 2.0,0.0000,1,9
3036277,Body height,113,1.0000,10.6,0.0000,1,4
3000905,Leukocytes [#/volume] in Blood by Automated count,113,1.0000, 3.5,0.0000,2,7
3000963,Hemoglobin [Mass/volume] in Blood,113,1.0000, 3.5,0.0000,2,7
3027018,Heart rate,113,1.0000,12.8,0.0000,2,1
3002736,Platelet distribution width [Entitic volume] in Blood by Automated count,113,1.0000, 2.0,0.0000,2,9
3004249,Systolic blood pressure,113,1.0000,17.4,0.0000,2,1
3025315,Body weight,113,1.0000,13.0,0.0000,2,1
3038553,Body mass index (BMI) [Ratio],110,0.9734, 9.9,0.0000,2,4
3020891,Body temperature,102,0.9026, 3.5,0.0000,2,7
3016502,Oxygen saturation in Arterial blood,94,0.8319, 4.0,0.0000,2,6
706158,SARS-CoV-2 (COVID-19) RNA panel - Respiratory specimen by NAA with probe detection,91,0.8053, 1.2,1.0000,2,9
3009966,Cholesterol in LDL [Mass/volume] in Serum or Plasma by Direct assay,73,0.6460, 6.5,0.0000,2,6
3022192,Triglyceride [Mass/volume] in Serum or Plasma,73,0.6460, 6.5,0.0000,2,6
3007070,Cholesterol in HDL [Mass/volume] in Serum or Plasma,73,0.6460, 6.5,0.0000,3,6
3027114,Cholesterol [Mass/volume] in Serum or Plasma,73,0.6460, 6.5,0.0000,3,6
1002061,Adenovirus A+B+C+D+E DNA [Presence] in Respiratory specimen by NAA with probe detection,60,0.5310, 1.0,1.0000,3,9
37019589,Parainfluenza virus 1 RNA [Presence] in Respiratory specimen by NAA with probe detection,60,0.5310, 1.0,1.0000,3,9
37019613,Parainfluenza virus 2 RNA [Presence] in Respiratory specimen by NAA with probe detection,60,0.5310, 1.0,1.0000,3,9
37020003,Rhinovirus RNA [Presence] in Respiratory specimen by NAA with probe detection,60,0.5310, 1.0,1.0000,3,9
37020635,Influenza virus A RNA [Presence] in Respiratory specimen by NAA with probe detection,60,0.5310, 1.0,1.0000,3,10
37020808,Human metapneumovirus RNA [Presence] in Respiratory specimen by NAA with probe detection,60,0.5310, 1.0,1.0000,3,10
37021152,Respiratory syncytial virus RNA [Presence] in Respiratory specimen by NAA with probe detection,60,0.5310, 1.0,1.0000,3,10
37021252,Influenza virus B RNA [Presence] in Respiratory specimen by NAA with probe detection,60,0.5310, 1.0,1.0000,3,10
37021465,Parainfluenza virus 3 RNA [Presence] in Respiratory specimen by NAA with probe detection,60,0.5310, 1.0,1.0000,3,10
3000483,Glucose [Mass/volume] in Blood,50,0.4425,11.3,0.0000,3,3
3051825,Creatinine [Mass/volume] in Blood,50,0.4425,11.3,0.0000,4,3
3018572,Chloride [Moles/volume] in Blood,50,0.4425,11.3,0.0000,4,3
3004295,Urea nitrogen [Mass/volume] in Blood,50,0.4425,11.3,0.0000,4,3
3014094,"Carbon dioxide, total [Moles/volume] in Blood",50,0.4425,11.3,0.0000,4,3
3032503,Calcium [Mass/volume] in Blood,50,0.4425,11.3,0.0000,4,3
3005456,Potassium [Moles/volume] in Blood,50,0.4425,11.3,0.0000,4,4
3000285,Sodium [Moles/volume] in Blood,50,0.4425,11.3,0.0000,4,4
3004410,Hemoglobin A1c/Hemoglobin.total in Blood,45,0.3982,10.7,0.0000,4,4
40762638,Body mass index (BMI) [Percentile] Per age and sex,36,0.3186, 6.9,0.0000,4,6
21492989,Influenza virus B Ag [Presence] in Nasopharynx by Rapid immunoassay,31,0.2743, 1.0,1.0000,4,10
21492988,Influenza virus A Ag [Presence] in Nasopharynx by Rapid immunoassay,31,0.2743, 1.0,1.0000,4,10
4024958,Throat culture,29,0.2566, 1.2,1.0000,4,9
3035995,Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma,27,0.2389,10.1,0.0000,5,4
